speed_Mbps,price_NTD
0.1,2.7276234567901237e-06
0.15,4.500578703703704e-06
0.5,1.3638117283950617e-05
1.0,2.454861111111111e-05
1.5,4.5005787037037044e-05
0.1,1.0619259259259261e-05
0.15,1.592888888888889e-05
0.5,6.637037037037038e-05
1.0,0.00010619259259259261
1.5,0.00015928888888888892
0.1,4.675925925925927e-06
0.15,7.01388888888889e-06
0.5,2.3379629629629634e-05
1.0,4.675925925925927e-05
1.5,7.01388888888889e-05
0.1,5.309629629629631e-06
0.15,7.964444444444445e-06
0.5,2.6548148148148152e-05
1.0,5.3096296296296303e-05
1.5,7.964444444444446e-05
0.1,3.318518518518519e-06
0.15,5.600000000000001e-06
0.5,1.866666666666667e-05
1.0,3.733333333333334e-05
1.5,6.222222222222223e-05
0.1,2.8055555555555555e-06
0.15,4.2083333333333326e-06
0.5,1.4027777777777777e-05
1.0,2.8055555555555554e-05
1.5,4.208333333333333e-05
0.1,2.4548611111111113e-06
0.15,3.2731481481481484e-06
0.5,1.2274305555555555e-05
1.0,3.000385802469136e-05
1.5,3.6822916666666666e-05
0.1,7.964444444444445e-06
0.15,7.964444444444445e-06
0.5,3.9822222222222224e-05
1.0,7.964444444444445e-05
1.5,0.00011946666666666668
0.1,5.309629629629631e-06
0.15,7.964444444444445e-06
0.5,2.6548148148148152e-05
1.0,5.3096296296296303e-05
1.5,7.964444444444446e-05
0.1,7.0795061728395076e-06
0.15,1.0619259259259261e-05
0.5,3.539753086419754e-05
1.0,7.079506172839508e-05
1.5,0.00013274074074074075
0.1,1.3274074074074076e-05
0.15,2.1902222222222226e-05
0.5,5.973333333333334e-05
1.0,0.00014601481481481485
1.5,0.00021902222222222226
0.1,4.424691358024692e-06
0.15,6.637037037037039e-06
0.5,2.2123456790123462e-05
1.0,4.977777777777779e-05
1.5,8.296296296296299e-05
0.1,6.637037037037038e-06
0.15,8.96e-06
0.5,3.318518518518519e-05
1.0,6.637037037037038e-05
1.5,9.955555555555556e-05
0.1,6.637037037037038e-06
0.15,1.0951111111111113e-05
0.5,3.318518518518519e-05
1.0,6.637037037037038e-05
1.5,9.955555555555556e-05
0.1,3.621925925925927e-05
0.15,5.43288888888889e-05
0.5,0.00018109629629629634
1.0,0.0003621925925925927
1.5,0.000543288888888889
0.1,3.88888888888889e-06
0.15,7.291666666666667e-06
0.5,2.4305555555555558e-05
1.0,4.8611111111111115e-05
1.5,7.291666666666667e-05
0.1,8.750000000000001e-06
0.15,1.4583333333333333e-05
0.5,4.3750000000000006e-05
1.0,9.722222222222223e-05
1.5,0.00013125000000000002
0.1,1.7208333333333333e-05
0.15,2.58125e-05
0.5,7.648148148148148e-05
1.0,0.00017208333333333333
1.5,0.00022944444444444444
0.1,2.82962962962963e-05
0.15,4.2444444444444445e-05
0.5,0.0001414814814814815
1.0,0.000282962962962963
1.5,0.0004244444444444445
0.1,2.0764444444444446e-05
0.15,3.460740740740741e-05
0.5,0.00011535802469135802
1.0,0.00023071604938271605
1.5,0.00034607407407407406
0.1,5.309629629629631e-06
0.15,7.964444444444445e-06
0.5,2.6548148148148152e-05
1.0,6.637037037037038e-05
1.5,0.00010951111111111113
0.1,6.546296296296297e-06
0.15,9.819444444444445e-06
0.5,3.2731481481481484e-05
1.0,6.546296296296297e-05
1.5,9.819444444444445e-05
0.1,5.309629629629631e-06
0.15,8.96e-06
0.5,2.986666666666667e-05
1.0,5.3096296296296303e-05
1.5,7.964444444444446e-05
0.1,2.1546666666666668e-05
0.15,3.232e-05
0.5,0.00010773333333333334
1.0,0.00021546666666666668
1.5,0.00032320000000000005
0.1,1.0619259259259261e-05
0.15,1.9911111111111112e-05
0.5,5.3096296296296303e-05
1.0,0.00013274074074074075
1.5,0.00021902222222222226
0.1,4.1481481481481485e-06
0.15,7.4666666666666675e-06
0.5,1.866666666666667e-05
1.0,4.148148148148149e-05
1.5,6.844444444444446e-05
0.1,1.1970370370370372e-05
0.15,1.975111111111111e-05
0.5,6.583703703703704e-05
1.0,0.00011970370370370371
1.5,0.00017955555555555558
0.1,9.125925925925928e-06
0.15,1.1200000000000001e-05
0.5,3.318518518518519e-05
1.0,6.637037037037038e-05
1.5,0.00014933333333333335
0.1,1.3466666666666668e-05
0.15,1.7955555555555556e-05
0.5,5.9851851851851855e-05
1.0,0.00013466666666666667
1.5,0.00017955555555555558
0.1,1.2768395061728394e-05
0.15,1.915259259259259e-05
0.5,6.384197530864197e-05
1.0,0.00012768395061728394
1.5,0.00026334814814814815
0.1,1.0773333333333334e-05
0.15,1.616e-05
0.5,5.386666666666667e-05
1.0,0.00010773333333333334
1.5,0.00017955555555555558
0.1,9.722222222222224e-06
0.15,1.4583333333333333e-05
0.5,5.347222222222223e-05
1.0,8.750000000000001e-05
1.5,0.00013125000000000002
0.1,1.1970370370370372e-05
0.15,1.4364444444444445e-05
0.5,5.386666666666667e-05
1.0,0.00013167407407407408
1.5,0.00019751111111111113
0.1,1.0694444444444446e-05
0.15,1.166666666666667e-05
0.5,3.88888888888889e-05
1.0,7.77777777777778e-05
1.5,0.00013125000000000002
0.1,5.309629629629631e-06
0.15,7.964444444444445e-06
0.5,2.6548148148148152e-05
1.0,5.3096296296296303e-05
1.5,7.964444444444446e-05
0.1,9.733333333333334e-06
0.15,1.2977777777777779e-05
0.5,4.8666666666666666e-05
1.0,9.733333333333333e-05
1.5,0.00012977777777777779
0.1,1.1970370370370372e-05
0.15,1.4364444444444445e-05
0.5,5.386666666666667e-05
1.0,9.576296296296297e-05
1.5,0.00017955555555555558
0.1,7.0795061728395076e-06
0.15,1.0619259259259261e-05
0.5,3.539753086419754e-05
1.0,7.079506172839508e-05
1.5,0.00013274074074074075
0.1,5.309629629629631e-06
0.15,7.964444444444445e-06
0.5,2.6548148148148152e-05
1.0,5.3096296296296303e-05
1.5,7.964444444444446e-05
0.1,1.1970370370370372e-05
0.15,1.7955555555555556e-05
0.5,5.9851851851851855e-05
1.0,0.00011970370370370371
1.5,0.00017955555555555558
0.1,4.3750000000000005e-06
0.15,8.020833333333335e-06
0.5,2.1875000000000003e-05
1.0,4.3750000000000006e-05
1.5,8.020833333333335e-05
0.1,1.7303703703703707e-05
0.15,3.2444444444444446e-05
0.5,0.00010814814814814815
1.0,0.00017303703703703706
1.5,0.00025955555555555557
0.1,5.309629629629631e-06
0.15,7.964444444444445e-06
0.5,2.6548148148148152e-05
1.0,5.3096296296296303e-05
1.5,7.964444444444446e-05
0.1,1.0619259259259261e-05
0.15,1.592888888888889e-05
0.5,5.3096296296296303e-05
1.0,0.00010619259259259261
1.5,0.00015928888888888892
0.1,2.2685185185185193e-06
0.15,3.7430555555555562e-06
0.5,1.1342592592592595e-05
1.0,2.268518518518519e-05
1.5,3.402777777777779e-05
0.1,7.964444444444445e-06
0.15,1.1946666666666667e-05
0.5,3.9822222222222224e-05
1.0,7.964444444444445e-05
1.5,0.00011946666666666668
0.1,1.3274074074074076e-05
0.15,2.4888888888888893e-05
0.5,6.637037037037038e-05
1.0,0.00016592592592592595
1.5,0.00024888888888888893
0.1,1.4601481481481486e-05
0.15,2.1902222222222226e-05
0.5,7.300740740740743e-05
1.0,0.00014601481481481485
1.5,0.00021902222222222226
0.1,5.309629629629631e-06
0.15,7.964444444444445e-06
0.5,2.6548148148148152e-05
1.0,7.964444444444445e-05
1.5,0.00011946666666666668
0.1,4.424691358024692e-06
0.15,6.637037037037039e-06
0.5,2.4888888888888896e-05
1.0,5.530864197530865e-05
1.5,7.466666666666669e-05
0.1,3.318518518518519e-06
0.15,4.977777777777778e-06
0.5,2.4888888888888893e-05
1.0,3.318518518518519e-05
1.5,6.222222222222223e-05
0.1,2.6548148148148152e-05
0.15,3.9822222222222224e-05
0.5,0.00013274074074074075
1.0,0.0002654814814814815
1.5,0.00039822222222222223
0.1,7.0795061728395076e-06
0.15,1.0619259259259261e-05
0.5,3.539753086419754e-05
1.0,7.079506172839508e-05
1.5,0.00010619259259259261
0.1,3.830518518518519e-05
0.15,5.745777777777778e-05
0.5,0.00019152592592592595
1.0,0.0003830518518518519
1.5,0.0005745777777777779
0.1,4.98014814814815e-05
0.15,5.43288888888889e-05
0.5,0.00020373333333333337
1.0,0.0004527407407407408
1.5,0.000543288888888889
0.1,1.1970370370370372e-05
0.15,1.7955555555555556e-05
0.5,5.9851851851851855e-05
1.0,0.00011970370370370371
1.5,0.00017955555555555558
0.1,2.9166666666666674e-06
0.15,4.3750000000000005e-06
0.5,1.4583333333333337e-05
1.0,2.9166666666666673e-05
1.5,4.3750000000000006e-05
0.1,2.027777777777778e-05
0.15,3.802083333333333e-05
0.5,0.0001267361111111111
1.0,0.0002534722222222222
1.5,0.0003802083333333333
0.1,1.7303703703703704e-05
0.15,2.0764444444444443e-05
0.5,9.517037037037037e-05
1.0,0.00019034074074074074
1.5,0.0002855111111111111
0.1,5.309629629629631e-06
0.15,7.964444444444445e-06
0.5,2.6548148148148152e-05
1.0,6.637037037037038e-05
1.5,9.955555555555556e-05
0.1,1.555555555555556e-06
0.15,2.9166666666666674e-06
0.5,7.77777777777778e-06
1.0,1.944444444444445e-05
1.5,2.9166666666666673e-05
0.1,8.849382716049384e-06
0.15,1.4601481481481483e-05
0.5,4.867160493827161e-05
1.0,8.849382716049383e-05
1.5,0.00013274074074074075
0.1,6.481481481481483e-07
0.15,8.750000000000002e-07
0.5,2.9166666666666674e-06
1.0,6.481481481481483e-06
1.5,9.722222222222224e-06
0.1,5.309629629629631e-06
0.15,9.955555555555556e-06
0.5,2.6548148148148152e-05
1.0,5.3096296296296303e-05
1.5,9.955555555555556e-05
